Year,Tm,Lg,Lev,Aff,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BF,WHIP,HLD,SVO,NP,GO/AO
2019,BRK,New York-Penn League,A-,NYM,2,0,2.25,11,0,0,0,1,12.0,13,5,3,0,3,1,14,2,55,1.33,1,1,191,0.00
2021,BRK,High-A East,A+,NYM,2,1,3.28,24,0,0,0,1,49.1,58,30,18,1,11,1,40,5,215,1.40,3,2,803,1.24
2021,BNG,Double-A Northeast,AA,NYM,0,0,3.72,6,0,0,0,0,9.2,5,4,4,0,1,0,6,4,39,0.62,1,0,158,1.30
2021,SYR,Triple-A East,AAA,NYM,0,0,10.13,3,0,0,0,0,2.2,7,3,3,1,1,0,1,0,16,3.00,0,0,60,0.75
2022,BRK,South Atlantic League,A+,NYM,1,0,0.00,6,0,0,0,1,7.2,5,0,0,0,2,1,10,0,30,0.91,2,1,120,1.60
2022,BNG,Eastern League,AA,NYM,4,2,4.99,25,0,0,0,1,39.2,49,28,22,4,18,0,38,3,184,1.69,2,2,698,1.05
2022,SYR,International League,AAA,NYM,0,1,8.53,2,2,0,0,0,6.1,7,6,6,2,2,0,7,2,29,1.42,0,0,124,0.57
2024,BRK,South Atlantic League,A+,NYM,1,2,1.77,22,0,0,0,5,35.2,25,9,7,0,9,2,31,4,144,0.95,3,6,540,0.97
2024,BNG,Eastern League,AA,NYM,0,1,6.30,14,0,0,0,0,20.0,27,15,14,3,5,0,17,3,95,1.60,1,1,383,0.34
2024,SYR,International League,AAA,NYM,0,0,16.20,2,0,0,0,0,1.2,5,7,3,0,0,0,0,3,14,3.00,1,0,39,1.00
2025,JS,South Atlantic League,A+,PHI,1,1,7.29,21,0,0,0,0,21.0,26,17,17,3,9,0,20,0,97,1.67,0,2,344,0.56
2025,REA,Eastern League,AA,PHI,0,0,3.52,6,0,0,0,1,7.2,6,3,3,0,5,1,5,2,35,1.43,2,1,144,0.89
2026,FRI,Texas League,AA,TEX,0,0,8.31,6,0,0,0,0,8.2,13,8,8,4,3,0,9,2,43,1.85,0,0,144,1.29
2026,PNS,Southern League,AA,MIA,0,0,7.17,14,0,0,0,0,21.1,37,25,17,5,10,0,14,2,112,2.20,0,0,419,0.58
2026,JAX,International League,AAA,MIA,1,0,10.38,4,0,0,0,0,4.1,4,6,5,2,6,0,4,2,25,2.31,0,0,98,2.00
2026,RR,Pacific Coast League,AAA,TEX,0,0,16.20,2,0,0,0,0,3.1,4,6,6,4,4,0,1,1,17,2.40,0,0,70,2.50
