PitchNo,Date,Time,Pitcher,PitcherThrows,TaggedPitchType,PitchSession,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime
1,2026-01-16,14:55:18.51,"Hejka, Josh",Right,Slider,Live,73.23228,4.191279055,-3.533501916,2774.030839,144.1866823,10:45,1.98577,4.05568,5.49377,-40.59018,13.58162,-9.79326,2.53781,-0.06948,65.45417,-3.443296136,-5.372601908,0.5297342226
2,2026-01-16,14:56:41.72,"Hejka, Josh",Right,Sinker,Live,84.61801,2.998617126,-5.731774125,2505.541515,292.0331237,3:45,2.18894,3.81829,5.65082,-45.95271,-5.96097,14.51213,1.17253,-0.33544,76.4719,-5.607034348,-3.016699298,0.4551521417
3,2026-01-16,14:57:01.19,"Hejka, Josh",Right,Cutter,Live,79.24621,3.907979436,-6.007989543,2746.006407,156.3228281,11:15,1.98915,3.63842,5.36769,-39.22368,6.6974,-2.95368,2.41017,-2.26089,72.14652,-3.356315336,-6.552456116,0.4877277262
4,2026-01-16,14:57:20.12,"Hejka, Josh",Right,Cutter,Live,79.23587,4.290727402,-3.372194772,2674.113778,173.0347302,11:45,2.22251,3.78711,5.50867,-39.49747,5.7811,-0.70974,2.95751,0.57121,72.20581,-3.063365124,-3.504299843,0.4843036542
5,2026-01-16,14:57:36.26,"Hejka, Josh",Right,Slider,Live,74.77651,3.72957646,-3.34782105,2706.200687,159.6401373,11:15,1.90919,3.69364,5.08317,-35.51305,16.93507,-6.28935,2.47573,0.01076,67.07192,-2.890165608,-4.518695497,0.5212383658
6,2026-01-16,14:58:02.36,"Hejka, Josh",Right,Slider,Live,74.59025,4.856974405,-4.592527934,2801.39876,149.5107419,11:00,2.11944,3.61658,5.30365,-36.42013,15.8402,-9.3114,3.66891,-1.47922,67.30767,-1.91954836,-6.319344471,0.5203043823
7,2026-01-16,14:58:36.25,"Hejka, Josh",Right,Cutter,Live,80.07953,3.252000138,-6.443111491,,,,2.21051,3.77478,5.34888,-39.52896,5.15177,-0.54212,1.98891,-2.33848,73.51762,-4.033210261,-6.542524237,0.4810957223
8,2026-01-16,14:58:53.11,"Hejka, Josh",Right,Sinker,Live,85.44698,1.997569062,-6.270155234,2526.38987,283.0834111,3:30,2.44615,3.67815,5.54392,-42.29182,-2.96812,12.49276,0.80039,-1.16322,77.46467,-5.891121839,-3.94468969,0.4513345792
9,2026-01-16,14:59:11.51,"Hejka, Josh",Right,Cutter,Live,79.43587,2.941339989,-4.737329409,2756.80828,148.2266549,11:00,2.35771,3.76814,5.35661,-39.42025,6.13131,-3.81915,1.84263,-1.0024,72.29525,-4.380647902,-5.44506218,0.4857614435
10,2026-01-16,14:59:29.89,"Hejka, Josh",Right,Cutter,Live,79.57944,2.929458474,-1.990085614,2724.026432,165.3466707,11:30,2.07825,3.70688,5.22688,-40.86484,4.09872,-1.08025,1.43046,1.74552,73.03264,-4.631663799,-2.190167209,0.4826160513
