PitchNo,Date,Time,Pitcher,PitcherThrows,VideoTimestamp,TaggedPitchType,PitchSession,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime
1,2026-01-24,13:10:23.38,"Hejka, Josh",Right,0.00,Sinker,Live,85.24167,3.518058778,-7.458451648,2643.134122,289.8148662,3:45,2.3224,4.28769,5.4149,-45.69973,-5.42092,14.72261,1.84164,-1.51125,76.4017,-5.005307653,-4.723518404,0.4567827826
2,2026-01-24,13:10:43.24,"Hejka, Josh",Right,2.27,Cutter,Live,81.94543,2.349761062,-5.700883783,2632.585073,232.4200357,1:45,1.89049,4.35646,5.66527,-35.40376,6.39721,8.43762,1.14298,-0.27294,75.46445,-4.217805225,-4.139780086,0.4653337741
3,2026-01-24,13:11:00.22,"Hejka, Josh",Right,6.13,Sinker,Live,84.30327,2.844081648,-6.243733742,2594.610928,271.6259832,3:00,1.97718,4.42428,5.29258,-41.03699,-0.54652,15.23508,1.24561,-0.19108,76.85903,-4.747515982,-3.431667636,0.4579813839
4,2026-01-24,13:11:20.20,"Hejka, Josh",Right,10.07,Cutter,Live,81.07472,2.623555407,-5.572014873,2648.054277,209.7988741,1:00,1.88414,4.34497,5.59551,-34.68917,8.10083,4.68882,1.45585,-0.48232,74.72627,-3.799357611,-4.706442282,0.4708066524
5,2026-01-24,13:11:38.12,"Hejka, Josh",Right,14.21,Cutter,Live,80.34415,2.61665099,-4.353474194,2691.596305,222.673719,1:30,1.88835,4.43103,5.43881,-39.08782,5.16114,4.81649,1.08967,0.7486,73.13438,-4.660914265,-3.457432523,0.4787656024
,,,,,18.24,Slider,,,,,,,,,,,,,,,,,,,
6,2026-01-24,13:12:27.02,"Hejka, Josh",Right,22.09,Cutter,Live,80.29273,3.257092233,-4.426859009,1431.390259,207.731551,1:00,1.86283,4.57376,5.3144,-38.06632,6.52804,3.46418,1.75961,0.6999,72.94533,-3.816058969,-3.784011508,0.4806305327
,,,,,26.15,Slider,,,,,,,,,,,,,,,,,,,
7,2026-01-24,13:13:02.71,"Hejka, Josh",Right,29.28,Cutter,Live,81.21124,2.346660776,-3.730282577,2696.550141,178.8714029,12:00,2.04642,4.47891,5.37313,-36.11744,7.01699,-0.13912,1.24229,0.96561,74.3421,-4.354806378,-3.75607755,0.4726976452
8,2026-01-24,13:13:23.12,"Hejka, Josh",Right,33.19,Cutter,Live,81.83271,3.242514586,-5.739466296,2802.240646,215.3400133,1:15,2.17115,4.4036,5.35597,-37.6926,5.08986,3.66169,2.08919,-0.69121,74.78289,-3.730840888,-5.064217131,0.4707651087
