Season,Team,LG,Level,W,L,ERA,G,GS,CG,SHO,HLD,SV,SVO,IP,H,R,ER,HR,NP,HB,BB,IBB,SO,AVG,WHIP,GO/AO
2019,2 teams,-,Minors,2,0,1.33,22,0,0,0,1,4,4,20.1,17,5,3,0,321,2,5,1,24,.210,1.08,0.00
2019,KNG,APP,ROA,0,0,0.00,11,0,0,0,0,3,3,8.1,4,0,0,0,130,0,2,0,10,.129,0.72,0.00
2019,BRK,NYP,A(Short),2,0,2.25,11,0,0,0,1,1,1,12.0,13,5,3,0,191,2,3,1,14,.260,1.33,0.00
2021,3 teams,-,Minors,2,1,3.65,33,0,0,0,4,1,2,61.2,70,37,25,2,1021,9,13,1,47,.286,1.35,1.22
2021,BRK,A+ E,A+,2,1,3.28,24,0,0,0,3,1,2,49.1,58,30,18,1,803,5,11,1,40,.296,1.40,1.24
2021,BNG,AA NE,AA,0,0,3.72,6,0,0,0,1,0,0,9.2,5,4,4,0,158,4,1,0,6,.147,0.62,1.30
2021,SYR,AAA E,AAA,0,0,10.13,3,0,0,0,0,0,0,2.2,7,3,3,1,60,0,1,0,1,.467,3.00,0.75
2022,3 teams,-,Minors,5,3,4.70,33,2,0,0,4,2,3,53.2,61,34,28,6,942,5,22,1,55,.285,1.55,1.04
2022,BRK,SAL,A+,1,0,0.00,6,0,0,0,2,1,1,7.2,5,0,0,0,120,0,2,1,10,.179,0.91,1.60
2022,BNG,EAS,AA,4,2,4.99,25,0,0,0,2,1,2,39.2,49,28,22,4,698,3,18,0,38,.302,1.69,1.05
2022,SYR,INT,AAA,0,1,8.53,2,2,0,0,0,0,0,6.1,7,6,6,2,124,2,2,0,7,.292,1.42,0.57
2024,3 teams,-,Minors,1,3,3.77,38,0,0,0,5,5,7,57.1,57,31,24,3,962,10,14,2,48,.253,1.24,0.70
2024,BRK,SAL,A+,1,2,1.77,22,0,0,0,3,5,6,35.2,25,9,7,0,540,4,9,2,31,.195,0.95,0.97
2024,BNG,EAS,AA,0,1,6.30,14,0,0,0,1,0,1,20.0,27,15,14,3,383,3,5,0,17,.310,1.60,0.34
2024,SYR,INT,AAA,0,0,16.20,2,0,0,0,1,0,0,1.2,5,7,3,0,39,3,0,0,0,.500,3.00,1.00
2025,2 teams,-,Minors,1,1,6.28,27,0,0,0,2,1,3,28.2,32,20,20,3,488,2,14,1,25,.278,1.60,0.64
2025,JS,SAL,A+,1,1,7.29,21,0,0,0,0,0,2,21.0,26,17,17,3,344,0,9,0,20,.299,1.67,0.56
2025,REA,EAS,AA,0,0,3.52,6,0,0,0,2,1,1,7.2,6,3,3,0,144,2,5,1,5,.214,1.43,0.89
Minors Career,-,-,Minors,11,8,4.06,153,2,0,0,16,13,19,221.2,237,127,100,14,3734,28,68,6,199,.269,1.38,0.86
,-,-,ROA,0,0,0.00,11,0,0,0,0,3,3,8.1,4,0,0,0,130,0,2,0,10,.129,0.72,0.00
,-,-,AAA,0,1,10.13,7,2,0,0,1,0,0,10.2,19,16,12,3,223,5,3,0,8,.388,2.06,0.71
,-,-,AA,4,3,5.03,51,0,0,0,6,2,4,77.0,87,50,43,7,1383,12,29,1,66,.280,1.51,0.81
,-,-,A+,5,4,3.33,73,0,0,0,8,7,11,113.2,114,56,42,4,1807,9,31,4,101,.260,1.28,1.01
,-,-,A(Short),2,0,2.25,11,0,0,0,1,1,1,12.0,13,5,3,0,191,2,3,1,14,.260,1.33,0.00
